Promotion_id,Promotion_Name,Promotion_Code,Promotion_Description
1,Estee E-list Loyalty Program,SIGNUP15,Sign up and receive 15% off on one online order
2,Limited Edition,GET29,Get 29 Beauty Essentials of $550 value for $75 with any purchase of $45
3,Free Shipping Free Returns,FREESHIPPINGFREERETURNS,Free Shipping and free returns on all online orders
4,Pay Later,SHOPLATER,Shop now and pay later in 4 installments using afterpay for purchases more than $35
5,Free Shipping on foundation,FREESHIPPINGFOUNDATION  ,Free shipping on every foundation purchase. If a new shade needed free shipping or free return
6,Free Luxe Box,FREELUXE ,Free Luxe gift box for any purchase
7,Free Gift Wrapping,FREEWRAP ,Free gift wrapping for any purchase
8,Livestream,LIVESTREAM,Livestream on demand for shoppable live content and tips and tricks from trusted beauty experts
9,Refer a Friend,REFERFRIEND20,Refer a friend and you�ll both get $20 off on the next purchase of $100+
10,Free Gift Set,FREEGIFT7,Free 7-piece gift set of $155 values for any purchase of $45
13,Regular Customer,REGULAR,Promotion for regular customers
