product_id,product_name,product_type,product_category,brand,product_decription,product_purpose,cost_per_unit,cost_range,cost_per_unit_cleaned
1,Advanced Night Repair Serum,serum,haircare,Aveda,Synchronized Multi-Recovery Complex,The #1 serum in the U.S.* Fight the look of multiple signs of aging.,$75.00 ,$75.00 - $200.00,75
2,Revitalizing Supreme+,face cream,Cosmetics/SkinCare,BECCA,Global Anti-Aging Cell Power Creme,Multi-action creme; the key to younger-looking skin.,$59.00 ,$59.00 - $88.00,59
3,Revitalizing Supreme+,face cream,Cosmetics/SkinCare,Bobbi Brown,Global Anti-Aging Cell Power Creme SPF 15,Multi-action SPF 15 creme; the key to younger-looking skin.,$88.00 ,$88.00 - $106.00,88
4,Revitalizing Supreme+ Bright,face cream,Cosmetics/SkinCare,Clinique,Power Soft Creme,Multi-action creme visibly improves dark spots; acne marks.,$88.00 ,0,88
5,Revitalizing Supreme+ Bright,face lotion,Cosmetics/SkinCare,Darphin,Power Soft Milky Lotion,Multi-action lotion visibly improves dark spots; acne marks.,$88.00 ,0,88
6,Micro Essence,treatment lotion,Cosmetics/SkinCare,DECIEM by Brandon Truaxe,Skin Activating Treatment Lotion,Reveals skin's youthful; angelic glow.,$65.00 ,$65.00 - $200.00,65
7,Advanced Night Repair Eye Supercharged Complex,eye cream,Cosmetics/SkinCare,Dr.Jart+,Synchronized Recovery,Repairs. Brightens dark circles. Hydrates. Prevents.,$64.00 ,0,64
8,Advanced Night Repair Eye Concentrate Matrix,eye cream,Cosmetics/SkinCare,Est�e Lauder,Synchronized Recovery,Repairs. Fortifies. Hydrates eyes.,$70.00 ,0,70
9,Perfectionist Pro,face treatment,Cosmetics/SkinCare,GLAMGLOW,Intense Brightening Essence Ampoule with Vitamin C/E + Licorice,Renews skin. Reduces the look of dark spots; pores.,$110.00 ,0,110
10,Perfectionist Pro,face treatment,Cosmetics/SkinCare,La Mer,Rapid Brightening Treatment with Ferment� + Vitamin C,Boosts radiance. Visibly reduces dark spots; pores.,$78.00 ,$78.00 - $110.00,78
11,Perfectionist Pro,face treatment,Cosmetics/SkinCare,Lab Series,Rapid Firm + Lift Treatment with Acetyl Hexapeptide-8,See an overall more youthful; lifted look.,$78.00 ,$78.00 - $110.00,78
12,Revitalizing Supreme+ Night,face cream,Cosmetics/SkinCare,MAC Cosmetics,Intensive Restorative Creme,Firms. Reduces the look of lines. Deeply nourishes.,$89.00 ,0,89
13,Perfectly Clean,face cleanser,Cosmetics/SkinCare,Origins,Multi-Action Foam Cleanser/Purifying Mask,Richly lathers to cleanse. 3-minute purifying mask.,$27.00 ,0,27
14,Soft Clean,face cleanser,Cosmetics/SkinCare,Prescriptives,Moisture Rich Foaming Cleanser,Foams into rich lather. Leaves skin soft; satisfied.,$24.00 ,0,24
15,Soft Clean,face lotion,Cosmetics/SkinCare,Smashbox,Silky Hydrating Lotion,Hydrating toner. Leaves skin soft; supple.,$35.00 ,0,35
16,DayWear,face cream,Cosmetics/SkinCare,Too Faced[28],Multi-Protection Anti-Oxidant 24H-Moisture Creme SPF 15,Helps prevent and diminish first signs of aging.,$35.00 ,$35.00 - $55.00,35
17,Nutritious Super-Pomegranate,face cleanser,Cosmetics/SkinCare,Tom Ford Beauty,Radiant Energy 2-in-1 Cleansing Foam,Purifies skin 2 ways: as daily cleanser or as mask.,$34.00 ,0,34
18,Resilience Multi-Effect,face cream,Cosmetics/SkinCare,Smashbox,Tri-Peptide Face and Neck Creme SPF 15,Intensely nourishing; for radiant; plumped; supple skin.,$30.00 ,$30.00 - $114.00,30
19,Advanced Night Repair Serum,serum,haircare,Bumble and Bumble,Synchronized Multi-Recovery Complex in Large-Size Red Bottle,Supersize celebration: the #1 serum in the U.S.* in a �lucky red� bottle.$287.50 Value.,$200.00 ,0,200
